# PAR,T_day
2.369556687499999725e+02,-1.148479999999999812e+01
2.059911943749999637e+02,-1.154519999999999769e+01
2.174753199999999822e+02,-9.672800000000000509e+00
2.320198149999999941e+02,-1.007479999999999976e+01
1.825820179166667003e+02,-7.960400000000000809e+00
6.377623958333333576e+01,-7.995599999999998708e+00
1.002432047916666562e+02,-8.929600000000004201e+00
1.620950604166666551e+02,-8.393999999999998352e+00
2.568256381250000118e+02,-9.162000000000002586e+00
7.638549395833332767e+01,-6.140000000000001457e+00
1.844672972916666822e+02,-3.500399999999999512e+00
2.777442245833333345e+02,-1.980799999999999894e+00
2.012681983333333164e+02,2.924800000000000288e+00
1.290300620833333198e+02,5.370800000000000018e+00
8.916507020833331865e+01,3.448400000000000798e+00
1.041602516666666389e+02,2.301600000000000090e+00
4.800174958333332853e+01,-2.387999999999999567e-01
6.500831979166666486e+01,1.291599999999999859e+00
3.366460249999999377e+01,-2.160000000000000808e-01
2.536700833333333094e+01,2.070799999999999752e+00
5.675033687499998791e+01,3.411600000000000410e+00
5.794700395833334028e+01,6.571200000000000152e+00
6.852104187499999455e+01,8.435600000000000875e+00
8.399330291666666426e+01,-1.312000000000001221e-01
1.228019391666666564e+02,-5.923999999999999488e+00
2.193102822916666526e+02,-3.369599999999999262e+00
2.912653314583333213e+02,-6.411599999999998190e+00
1.350519956249999893e+02,-9.840399999999998926e+00
2.600159016666667071e+02,-7.319600000000002993e+00
3.234288750000000050e+02,-5.220400000000000595e+00
2.847374704166666675e+02,-1.272400000000000198e+00
1.026715485416666525e+02,1.287599999999999856e+00
1.202825247916666598e+02,-2.504000000000000004e+00
1.469376327083333535e+02,-6.792000000000000259e-01
3.156840083333332814e+01,5.836000000000001187e-01
1.855801914583333598e+02,-3.281199999999999672e+00
3.506584820833334106e+02,-6.566399999999998904e+00
2.643168772916666853e+02,-5.355199999999999960e+00
1.023256922916666554e+02,-5.535600000000000520e+00
1.525767012500000135e+02,-5.877999999999999226e+00
3.064858385416666238e+02,-4.492799999999999905e+00
3.560361445833332823e+02,-4.569200000000000372e+00
3.758529550000000086e+02,-4.561999999999998501e+00
2.094074741666666171e+02,-3.183600000000000652e+00
1.148752914583333222e+02,-4.125199999999999534e+00
7.986813395833333118e+01,-4.166800000000000281e+00
1.741118033333333415e+02,-3.402399999999999647e+00
1.413262231250000127e+02,-2.133199999999999541e+00
3.884405933333333110e+02,-1.600000000000178970e-03
2.007975975000000233e+02,2.903999999999999915e+00
1.421092862499999967e+02,5.592800000000000438e+00
6.498211312499999792e+01,2.225199999999999623e+00
7.319909375000001717e+01,-4.639999999999999680e-02
1.828796395833333293e+02,-4.624799999999999578e+00
2.530557212499999480e+02,-3.543599999999999639e+00
4.196358616666666421e+02,-2.958000000000000185e+00
1.064165395833333179e+02,-1.651199999999999779e+00
1.190302383333333438e+02,9.691999999999998394e-01
1.242123425000000196e+02,1.925200000000000466e+00
3.201851395833333527e+02,8.727999999999999092e-01
1.373047929166666563e+02,3.216000000000000525e-01
4.564952212499999860e+02,1.667999999999999927e+00
4.608684222916667181e+02,2.285599999999999632e+00
4.685552968750000673e+02,3.428799999999999848e+00
2.987764281249999954e+02,5.915199999999999569e+00
4.349716189583332380e+02,8.719199999999998951e+00
2.054073247916666389e+02,1.126240000000000308e+01
3.413172318750000045e+02,1.520240000000000080e+01
1.554768443750000131e+02,1.345319999999999894e+01
9.147954187500000955e+01,1.009719999999999906e+01
8.318448583333332635e+01,6.740000000000000213e+00
1.352315277083333456e+02,5.189199999999999591e+00
9.774771374999998841e+01,5.587600000000000122e+00
4.964234043749999614e+02,9.593999999999999417e+00
5.079372595833332866e+02,1.194079999999999764e+01
5.074075814583332544e+02,1.292080000000000162e+01
4.673219820833332960e+02,1.339160000000000394e+01
3.212032124999999496e+02,1.432000000000000028e+01
1.626539500000000089e+02,8.386400000000000077e+00
5.389326062500000347e+01,4.767599999999999838e+00
5.194916527083332767e+02,8.860400000000000276e+00
3.258048056250000286e+02,1.376759999999999806e+01
6.507681874999998684e+01,9.920799999999999841e+00
5.453499808333333476e+02,2.323599999999999444e+00
4.883291025000000900e+02,7.177599999999999980e+00
5.472564812499999221e+01,9.208400000000001029e+00
4.528715339583332593e+02,6.577600000000001224e+00
5.436566358333334392e+02,1.009359999999999857e+01
5.174218797916665835e+02,1.700959999999999894e+01
5.516085383333332857e+02,2.141440000000000410e+01
4.722782168750000551e+02,2.233440000000000225e+01
2.671491435416666604e+02,1.567720000000000091e+01
4.992492543749999072e+02,1.741440000000000055e+01
3.283029875000000288e+02,2.111079999999999401e+01
5.570964119999999866e+02,2.340600000000000236e+01
8.964283454166667298e+01,1.941319999999999624e+01
2.965826348333334295e+02,8.833199999999999719e+00
5.984325767499999529e+02,8.262800000000000367e+00
5.786618829166667410e+02,1.440159999999999840e+01
5.394439858333333859e+02,1.857840000000000202e+01
5.540226793749999388e+02,1.863760000000000261e+01
5.372004383333332953e+02,2.028920000000000101e+01
5.813702281249999260e+02,2.080679999999999907e+01
5.825582510416667219e+02,2.269479999999999720e+01
3.436382972916666745e+02,1.881480000000000175e+01
6.159213812500000813e+02,1.076679999999999815e+01
6.349161864583334136e+02,9.912000000000000810e+00
5.361434797916666639e+02,1.158440000000000047e+01
5.812972552083333539e+02,1.434559999999999746e+01
5.337138062499999478e+02,1.660360000000000014e+01
4.726637202083332454e+02,1.675039999999999907e+01
1.534234312500000215e+02,1.477959999999999852e+01
2.024438183333333825e+02,1.621159999999999712e+01
1.209672479166666363e+02,1.341919999999999824e+01
1.612945770833333370e+02,1.177280000000000193e+01
4.462940047916667368e+02,1.056559999999999633e+01
6.751846662500000775e+02,1.061359999999999815e+01
5.776569462499999190e+02,1.651360000000000028e+01
4.785286716666666393e+02,2.126040000000000063e+01
1.835846235416666730e+02,1.881320000000000192e+01
1.456337752083333328e+02,1.945080000000000098e+01
6.643530014583333241e+02,1.837160000000000437e+01
6.883946718749999718e+02,1.837320000000000064e+01
6.140739587500000880e+02,2.120440000000000680e+01
6.928623354166667241e+02,1.759640000000000271e+01
4.447601797916666442e+02,1.977560000000000073e+01
2.265124477083333261e+02,8.914399999999996993e+00
6.066550779166666416e+02,9.478399999999998826e+00
4.898455089583333688e+02,1.073240000000000194e+01
4.207648579166666423e+02,1.680679999999999907e+01
2.237712912499999902e+02,1.735999999999999943e+01
4.010312389583332902e+02,2.184919999999999973e+01
5.954215154166665798e+02,1.863200000000000145e+01
3.332029283333333183e+02,1.515760000000000041e+01
1.470402533333333110e+02,1.456679999999999531e+01
9.663832437500001049e+01,1.269720000000000049e+01
9.076616416666666964e+01,1.220560000000000223e+01
2.676102339583333674e+02,1.354000000000000270e+01
2.560879635416666815e+02,1.542200000000000060e+01
2.572701239583333290e+02,1.783559999999999945e+01
5.515427672916665642e+02,1.994679999999999964e+01
6.392784414583333046e+02,2.420440000000000680e+01
6.024973337500000525e+02,2.578080000000000283e+01
5.995515097916666036e+02,2.436839999999999762e+01
6.185723297916667889e+02,2.577040000000000930e+01
4.122488408333333609e+02,2.349320000000000164e+01
6.502641289583333446e+02,2.290639999999999787e+01
6.861843641666665690e+02,2.504280000000000683e+01
5.935589937500000133e+02,2.521359999999999957e+01
5.162769554166666239e+02,2.259159999999999258e+01
5.116475864583333646e+02,2.278319999999999368e+01
4.811551266666667743e+02,2.319320000000000093e+01
5.170065185416666509e+02,2.259159999999999258e+01
6.415208175000000210e+02,2.461280000000000356e+01
3.617050256250000189e+02,2.531360000000000099e+01
5.271451974999999948e+02,2.138879999999999981e+01
6.531964412500000208e+02,2.047039999999999793e+01
3.092145712500000059e+02,2.096640000000000370e+01
3.761325781250000091e+02,2.294880000000000209e+01
7.111403139583335360e+02,2.434320000000000306e+01
4.783423008333334110e+02,2.390612072000000055e+01
4.314426303333332839e+02,2.490488204000000749e+01
4.825531238749999829e+02,2.337967176000000435e+01
5.308999859583333318e+02,2.426028952000000061e+01
4.751620287499999904e+02,2.276962183999999922e+01
6.409576902083332470e+02,2.334639999999999915e+01
7.019280339583333443e+02,2.499120000000000275e+01
6.629408718749999707e+02,2.551240000000000308e+01
6.836315131249999695e+02,2.396759999999999735e+01
6.196073537083334486e+02,2.670479999999999876e+01
4.853785989583333844e+02,2.571679999999999922e+01
4.572372668749999320e+02,2.439879999999999782e+01
6.712645787500000552e+02,2.761680000000000845e+01
6.701018925000000763e+02,2.380079999999999885e+01
7.478690520833333721e+02,2.432039999999999580e+01
6.083315874999998414e+02,2.634199999999999520e+01
6.336414541666667901e+02,2.622120000000000317e+01
4.971943797916667336e+02,2.389880000000000138e+01
6.706195954166664706e+02,2.187840000000000273e+01
7.498324487500000259e+02,1.954359999999999786e+01
7.441600281249998261e+02,1.993560000000000088e+01
7.535169437499997684e+02,2.078880000000000194e+01
7.289262149999999565e+02,2.369639999999999702e+01
6.537338081249998822e+02,2.635359999999999658e+01
6.151287666666667064e+02,2.621719999999999828e+01
6.716999366666667584e+02,2.667440000000000566e+01
6.967667812500000082e+02,2.831560000000000343e+01
4.704580418749999353e+02,2.576440000000000197e+01
3.862868233333333592e+02,2.424360000000000070e+01
6.751211437500001011e+02,2.477919999999999945e+01
6.028656179166667926e+02,2.550880000000000081e+01
5.605447941666667475e+02,2.505039999999999978e+01
3.126410829166666190e+02,2.425760000000000360e+01
6.172582437500000196e+02,2.674160000000000181e+01
5.038296277083334189e+02,2.605759999999999721e+01
6.825591975000000957e+02,2.667399999999999949e+01
6.292141558333332796e+02,2.592920000000000513e+01
5.496021262499999693e+01,2.368800000000000239e+01
4.544856045833334406e+02,2.326920000000000144e+01
